Depth,Porosity,Saturation 
10775.05,0.210909,0.217173
10775.49,0.212727,0.207039
10775.93,0.210303,0.19463
10776.37,0.2,0.205198
10776.81,0.198788,0.208474
10777.25,0.210909,0.200428
10777.69,0.218788,0.204564
10778.13,0.22,0.211723
10778.57,0.224849,0.205895
10779.01,0.228485,0.199275
10779.46,0.233333,0.194133
10779.9,0.239394,0.191204
10780.34,0.24303,0.192037
10780.78,0.245455,0.192379
10781.22,0.245455,0.194073
10781.66,0.24,0.195811
10782.1,0.235758,0.189766
10782.54,0.23697,0.176847
10782.98,0.250909,0.157139
10783.42,0.261818,0.144262
10783.86,0.252727,0.148509
10784.3,0.238182,0.158627
10784.75,0.239394,0.158126
10785.19,0.247879,0.153095
10785.63,0.257576,0.149337
10786.07,0.255151,0.153227
10786.51,0.250303,0.158398
10786.95,0.258788,0.154817
10787.39,0.266667,0.154068
10787.83,0.27394,0.151396
10788.27,0.265455,0.160022
10788.71,0.253939,0.169746
10789.15,0.250303,0.176551
10789.59,0.26,0.170969
10790.04,0.257576,0.174318
10790.48,0.262424,0.170346
10790.92,0.26,0.171723
10791.36,0.262424,0.172241
10791.8,0.257576,0.178204
10792.24,0.253939,0.181737
10792.68,0.237576,0.193776
10793.12,0.211515,0.205397
10793.56,0.202424,0.22502
10794,0.2,0.23477
10794.44,0.22,0.222775
10794.88,0.247879,0.198272
10795.32,0.235758,0.205185
10795.77,0.233333,0.203186
10796.21,0.231515,0.201948
10796.65,0.235758,0.196043
10797.09,0.238182,0.193354
10797.53,0.229091,0.196629
10797.97,0.229091,0.193194
10798.41,0.233333,0.186615
10798.85,0.24303,0.179158
10799.29,0.239394,0.181653
10799.73,0.226667,0.188646
10800.17,0.224243,0.185487
10800.61,0.221212,0.183736
10801.06,0.209697,0.192361
10801.5,0.215758,0.187035
